P,J,V,E,D,GP,GC,SG,%,ÚLT. JOGOS
46,23,14,4,5,41,24,17,66,
45,22,13,6,3,29,20,9,68,
41,23,12,5,6,31,19,12,59,
41,22,12,5,5,36,25,11,62,
38,23,11,5,7,33,25,8,55,
38,23,11,5,7,31,23,8,55,
37,22,11,4,7,31,24,7,56,
30,21,7,9,5,29,29,0,47,
29,21,8,5,8,25,24,1,46,
28,22,8,4,10,26,33,-7,42,
28,22,7,7,8,27,30,-3,42,
27,21,7,6,8,26,26,0,42,
25,19,6,7,6,18,18,0,43,
25,21,6,7,8,30,32,-2,39,
24,21,7,3,11,20,25,-5,38,
22,23,6,4,13,25,36,-11,31,
22,23,4,10,9,20,29,-9,31,
21,22,5,6,11,16,26,-10,31,
18,21,4,6,11,21,29,-8,28,
15,23,3,6,14,18,36,-18,21,
